homicidios_femeninos.csv,,,,,,Analisis_Temporal,,,,,Estados_Cambio,,,,,,Top_Estados_Verificacion,
entidad,anio,tasa,entidad_etiqueta,fecha,,anio,Tasa_Promedio,Tasa_Total,Tasa_Maxima,,Estado,Tasa_1990-1994,Tasa_2019-2023,Cambio_Absoluto,Cambio_Porcentual,,Estado,Tasa_Promedio_2020-2023
Aguascalientes,1990,0.79,Aguascalientes,1990-01-01,,1990.0,2.04,65.44,9.3,,Colima,2.74,23.4,20.66,750.0,,Colima,23.84
Baja California,1990,3.38,Baja California,1990-01-01,,1991.0,2.29,73.42,9.08,,Guanajuato,1.19,16.44,15.25,1275.1,,Guanajuato,17.23
Baja California Sur,1990,0.0,Baja California Sur,1990-01-01,,1992.0,2.39,76.52,8.87,,Zacatecas,1.5,15.05,13.55,899.9,,Zacatecas,16.57
Campeche,1990,2.54,Campeche,1990-01-01,,1993.0,2.19,69.99,9.0,,Chihuahua,1.95,15.01,13.06,665.4,,Baja California,15.8
Coahuila,1990,0.49,Coahuila,1990-01-01,,1994.0,2.6,83.33,8.17,,Baja California,2.99,15.45,12.47,416.1,,Chihuahua,15.16
Colima,1990,0.9,Colima,1990-01-01,,1995.0,2.81,89.95,6.92,,Morelos,3.51,10.56,7.05,200.5,,Morelos,10.82
Chiapas,1990,1.7,Chiapas,1990-01-01,,1996.0,2.57,82.12,6.66,,Sonora,1.81,8.64,6.83,375.2,,Michoacán,9.44
Chihuahua,1990,1.58,Chihuahua,1990-01-01,,1997.0,2.27,72.49,6.03,,Michoacán,3.27,9.09,5.82,177.3,,Sonora,8.81
Ciudad de México,1990,3.21,Ciudad de México,1990-01-01,,1998.0,2.83,90.7,6.7,,Guerrero,3.23,8.24,5.01,154.7,,Guerrero,7.76
Durango,1990,1.13,Durango,1990-01-01,,1999.0,2.65,84.65,5.64,,Quintana Roo,2.41,7.16,4.74,195.6,,Quintana Roo,6.97
Guanajuato,1990,1.09,Guanajuato,1990-01-01,,2000.0,2.25,72.09,4.79,,Nuevo León,0.71,4.04,3.32,458.8,,,
Guerrero,1990,1.51,Guerrero,1990-01-01,,2001.0,2.35,75.32,5.06,,Jalisco,1.93,5.14,3.21,165.8,,,
Hidalgo,1990,2.75,Hidalgo,1990-01-01,,2002.0,2.14,68.53,4.67,,San Luis Potosí,1.18,4.16,2.98,250.8,,,
